,Web ID,Region,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
0,54353,Caribbean,2020-11-26,2020,Nov,2,13,15,3,1,4,1,Presumed drowning,"Off the coast of Punta del Coco, Lagunas de NisibÃ³n, HigÃ¼ey, Dominican Republic","Bavaro Digital, Informado","19.095626250191, -69.591168297656",Dominican Republic to Puerto Rico,"https://archive.vn/wno1A, https://archive.vn/XuBjC, https://archive.vn/eR7xu",Uncategorized,3
1,54344,North Africa,2020-11-24,2020,Nov,1,0,1,51,1,1,1,Unknown,"On board of a boat rescued by Salvamento MarÃ­timo en route to the Canary Islands, Spain.","rtve, AFP","27.355587205826, -16.497294462500",Western African,"https://archive.vn/MaGcf, https://archive.vn/ruKgw",Uncategorized,3
2,54347,North Africa,2020-11-24,2020,Nov,8,0,8,28,1,8,1,Presumed drowning (beaten and thrown into river),"Bodies washed up to the coast of Lanzarote, Canary Islands, Spain. Shipwreck occurred off the coast of Orzola. - Departure from Agadir, Morocco, two or three days before. ","EuropaPress, rtve, El Pais, Diario de Avisos","29.229976356699, -13.421058505078",Western African,"https://archive.vn/RItNa, https://archive.vn/MaGcf, https://archive.vn/q0nma, https://archive.ph/6GBPF",Uncategorized,3
3,54326,Mediterranean,2020-11-23,2020,Nov,1,0,1,13,1,1,1,Presumed drowning,"Body found on beach in northwestern Rhodes, Greece","Reuters, Associated Press","36.465524782991, 28.231215810156",Eastern Mediterranean,"https://archive.ph/537Jn, https://archive.ph/VkMx5",Uncategorized,3
4,54327,US-Mexico Border,2020-11-21,2020,Nov,1,0,1,1,1,1,1,Presumed drowning,"Remains found buried close to the Rio Bravo at Guerrero, Coahuila, Mexico - presumed date of death 6 months before",ZÃ³calo,"28.350894379517, -100.321731086330",Unknown,"https://archive.vn/wQPtX, https://archive.vn/hcHsO",Central America,1
5,54324,Mediterranean,2020-11-18,2020,Nov,2,0,2,1,1,1,1,Presumed drowning,"Bodies washed ashore at Zawiya, Al-Harsha, Libya",IOM Libya,"32.763960300000, 12.673300900000",Central Mediterranean,Unknown,Uncategorized,4
6,54336,US-Mexico Border,2020-11-16,2020,Nov,1,0,1,1,1,1,1,Accident,"On the train tracks between Medias Aguas and Tierra Blanca, Jesus Carranza Municipality, Veracruz, Mexico",Diario del Itsmo,"17.437372800000, -95.031802200000",Unknown,https://archive.ph/G99p4,Central America,1
7,54318,Sub-Saharan Africa,2020-11-15,2020,Nov,5,30,35,66,1,1,1,Presumed drowning,"Shipwreck off the coast of Sal, Cape Verde (boat departed from Mbour, Senegal) - bodies washed ashore in the upcoming days","IOM Cape Verde, Infomigrants","16.734506150095, -22.845940148047",Western African,https://archive.vn/QnthV,Uncategorized,4
8,54309,Middle East,2020-11-13,2020,Nov,2,0,2,29,1,1,1,Vehicle  accident,"Tusba district, Van province, Turkey","Daily Sabah, TRT Haber","38.501208500000, 43.372979300000",Unknown,"https://archive.vn/k5QtQ, https://bit.ly/3kJSgiS",Western Asia,3
9,54305,Mediterranean,2020-11-13,2020,Nov,2,0,2,199,1,1,1,Unknown,"Boat intercepted at 33 18 N 012 44 E, off the coast of Libya",IOM Libya,"33.323270277016, 12.436419010937",Central Mediterranean,Unknown,Uncategorized,4
